Original Item ID,Original Client Requirement (verbatim),Module/Page,Setup Data,Actions,Expected Result,Actual Result,Pass/Fail,Evidence Type,Evidence Path/Link,Executed By,Execution Date,Environment,Notes
CL-001,"<paste original item 1 verbatim>","Dashboard / Reports","","","","",Not Run,"Screenshot + Export","docs/qa/evidence/staging/CL-001/",,,staging,
CL-002,"<paste original item 2 verbatim>","Dashboard / Reports","","","","",Not Run,"Screenshot + Export","docs/qa/evidence/staging/CL-002/",,,staging,
CL-003,"<paste original item 3 verbatim>","Unmatched Table","","","","",Not Run,"Screenshot + Export","docs/qa/evidence/staging/CL-003/",,,staging,
CL-004,"<paste original item 4 verbatim>","Clubs","","","","",Not Run,"Screenshot + Export","docs/qa/evidence/staging/CL-004/",,,staging,
CL-005,"<paste original item 5 verbatim>","Bulk Stream Transfer","","","","",Not Run,"Screenshot + Export","docs/qa/evidence/staging/CL-005/",,,staging,
LIFE-001,"Delete lifecycle updates linked KPI counts correctly","Lifecycle/KPI","Term seeded with invoices/payments + dashboard KPI baseline captured","Delete target record from list view and refresh KPI/dashboard/report pages","Record is soft deleted and KPI/report totals decrement correctly","",Not Run,"Screenshot + Export","docs/qa/evidence/staging/LIFE-001/",,,staging,
LIFE-002,"Restore lifecycle updates linked KPI counts correctly","Lifecycle/KPI","Use soft-deleted record from LIFE-001","Restore target record and refresh KPI/dashboard/report pages","Record returns and KPI/report totals increment back to baseline","",Not Run,"Screenshot + Export","docs/qa/evidence/staging/LIFE-002/",,,staging,
LIFE-003,"Purge lifecycle permanently removes records from KPI/report totals","Lifecycle/KPI","Use soft-deleted record eligible for purge","Purge record and refresh KPI/dashboard/report pages","Record permanently removed and KPI/report totals remain consistent","",Not Run,"Screenshot + Export","docs/qa/evidence/staging/LIFE-003/",,,staging,
XREP-001,"Cross-report totals are consistent under same term/date filters","Cross-Report Validation","Set one agreed term + date range filter","Run each linked dashboard/report with same filter values and reconcile totals","Totals match or documented, approved exception exists","",Not Run,"Reconciliation Sheet + Screenshot","docs/qa/evidence/exports/XREP-001_reconciliation.xlsx",,,staging,
SMOKE-001,"Staging smoke test has no server-side errors for org-scoped flows","Smoke Test","Real org-scoped user + seeded/real data","Execute critical paths and monitor logs (app + server)","All critical paths complete and no 5xx/tracebacks in logs","",Not Run,"Execution Log + Screenshot","docs/qa/staging_smoke_execution_log.md",,,staging,
TERM-001,"Terminology signoff: Educational Activities","Client Terminology","UAT review meeting with client","Show all UI/report locations where label appears","Client confirms exact label: Educational Activities","",Not Run,"Meeting Notes Screenshot","docs/qa/evidence/staging/TERM-001/",,,staging,
TERM-002,"Terminology signoff: Other Income in dashboard totals","Client Terminology","UAT review meeting with client","Show dashboard totals + reports where label appears","Client confirms exact label: Other Income","",Not Run,"Meeting Notes Screenshot","docs/qa/evidence/staging/TERM-002/",,,staging,
TERM-003,"Terminology signoff: New students strict current term","Client Terminology","UAT review meeting with client","Show rule implementation and sample count under current term filter","Client confirms exact wording and behavior: New students strict current term","",Not Run,"Meeting Notes Screenshot","docs/qa/evidence/staging/TERM-003/",,,staging,
